Wavelength,Intensity
134.711434,15
135.93863,17
137.16491,18
138.390274,19
139.614721,20
140.838253,20
142.060869,20
143.282569,20
144.503353,20
145.72322,21
146.942172,21
148.160208,21
149.377328,21
150.593532,23
151.808819,24
153.023191,25
154.236647,25
155.449187,25
156.660811,24
157.871519,23
159.081311,23
160.290187,24
161.498147,25
162.70519,25
163.911318,24
165.11653,23
166.320826,23
167.524206,22
168.72667,22
169.928218,23
171.12885,23
172.328566,24
173.527366,24
174.72525,23
175.922218,23
177.11827,23
178.313406,22
179.507626,22
180.70093,22
181.893318,22
183.08479,22
184.275346,22
185.464986,22
186.65371,22
187.841518,23
189.02841,23
190.214386,22
191.399446,21
192.58359,21
193.766818,21
194.949131,22
196.130527,22
197.311007,22
198.490571,21
199.669219,21
200.846951,21
202.023767,22
203.199667,22
204.374652,23
205.54872,23
206.721872,23
207.894108,23
209.065428,23
210.235832,23
211.405321,22
212.573893,22
213.741549,22
214.908289,21
216.074113,21
217.239022,21
218.403014,21
219.56609,22
220.72825,22
221.889495,22
223.049823,22
224.209235,22
225.367731,21
226.525312,21
227.681976,21
228.837724,22
229.992557,22
231.146473,22
232.299473,22
233.451558,22
234.602726,22
235.752978,22
236.902315,22
238.050735,21
239.198239,21
240.344828,21
241.4905,21
242.635256,21
243.779097,21
244.922021,22
246.06403,22
247.205122,22
248.345298,22
249.484559,22
250.622903,22
251.760332,22
252.896844,22
254.03244,22
255.167121,22
256.300885,22
257.433734,22
258.565666,21
259.696683,22
260.826783,22
261.955968,22
263.084236,22
264.211589,22
265.338025,21
266.463546,21
267.58815,21
268.711839,21
269.834611,21
270.956468,21
272.077409,21
273.197433,21
274.316542,21
275.434734,21
276.552011,21
277.668371,20
278.783816,20
279.898345,20
281.011957,20
282.124654,19
283.236435,20
284.347299,21
285.457248,21
286.56628,21
287.674397,22
288.781598,22
289.887882,22
290.993251,21
292.097704,21
293.20124,21
294.303861,21
295.405566,21
296.506355,21
297.606227,22
298.705184,23
299.803225,23
300.90035,22
301.996558,21
303.091851,20
304.186228,21
305.279689,21
306.372233,22
307.463862,23
308.554575,23
309.644372,23
310.733252,23
311.821217,23
312.908266,23
313.994399,23
315.079616,23
316.163917,22
317.247301,22
318.32977,23
319.411323,23
320.49196,24
321.571681,23
322.650486,23
323.728375,23
324.805347,24
325.881404,24
326.956545,24
328.03077,24
329.104079,24
330.176472,24
331.247949,24
332.31851,24
333.388155,24
334.456884,24
335.524697,24
336.591594,24
337.657575,24
338.72264,24
339.786789,24
340.850022,25
341.912339,26
342.97374,26
344.034225,26
345.093794,27
346.152447,26
347.210184,26
348.267005,26
349.32291,25
350.377899,25
351.431972,25
352.485129,25
353.53737,26
354.588695,26
355.639104,26
356.688597,27
357.737175,27
358.784836,27
359.831581,27
360.87741,26
361.922323,26
362.96632,25
364.009401,24
365.051566,24
366.092816,24
367.133149,23
368.172566,23
369.211067,24
370.248652,24
371.285321,23
372.321075,23
373.355912,23
374.389833,24
375.422838,24
376.454928,24
377.486101,24
378.516358,23
379.545699,23
380.574125,24
381.601634,24
382.628227,24
383.653904,24
384.678666,24
385.702511,24
386.72544,24
387.747454,23
388.768551,23
389.788732,23
390.807997,23
391.826347,22
392.84378,22
393.860298,22
394.875899,23
395.890584,23
396.904354,22
397.917207,23
398.929144,23
399.940166,23
400.950271,23
401.959461,23
402.967734,23
403.975091,23
404.981533,23
405.987058,22
406.991668,22
407.995361,22
408.998139,22
410.0,21
411.000945,21
412.000975,22
413.000088,23
413.998286,24
414.995567,24
415.991933,23
416.987382,23
417.981916,22
418.975533,22
419.968235,22
420.96002,22
421.95089,23
422.940844,22
423.929881,21
424.918003,21
425.905208,21
426.891498,21
427.876871,21
428.861329,22
429.844871,23
430.827496,23
431.809206,23
432.789999,23
433.769877,23
434.748839,23
435.726884,23
436.704014,23
437.680228,23
438.655525,23
439.629907,22
440.603373,22
441.575922,22
442.547556,22
443.518274,22
444.488075,22
445.456961,22
446.424931,23
447.391985,23
448.358122,23
449.323344,23
450.28765,23
451.251039,23
452.213513,23
453.175071,23
454.135713,23
455.095439,24
456.054248,24
457.012142,24
457.96912,24
458.925182,24
459.880327,24
460.834557,24
461.787871,23
462.740269,24
463.691751,24
464.642317,23
465.591967,23
466.5407,24
467.488518,24
468.43542,25
469.381406,25
470.326476,25
471.27063,25
472.213868,24
473.15619,24
474.097595,24
475.038085,24
475.977659,25
476.916317,25
477.854059,25
478.790885,25
479.726795,25
480.661789,25
481.595867,25
482.529029,24
483.461275,24
484.392605,25
485.323019,26
486.252517,26
487.181099,27
488.108765,27
489.035515,26
489.961349,25
490.886267,25
491.810269,26
492.733355,26
493.655525,27
494.576779,27
495.497117,27
496.416539,26
497.335046,26
498.252636,25
499.16931,25
500.085068,25
500.99991,26
501.913836,26
502.826846,26
503.73894,27
504.650119,26
505.560381,26
506.469727,26
507.378157,27
508.285671,28
509.192269,29
510.097952,30
511.002718,31
511.906568,32
512.809502,32
513.71152,34
514.612623,35
515.512809,34
516.412079,31
517.310433,31
518.207871,39
519.104394,58
520.0,84
520.89469,113
521.788465,139
522.681323,156
523.573265,163
524.464291,164
525.354402,165
526.243596,167
527.131874,162
528.019237,147
528.905683,121
529.791213,90
530.675828,61
531.559526,40
532.442308,29
533.324175,27
534.205125,29
535.085159,31
535.964278,29
536.84248,28
537.719767,28
538.596137,28
539.471591,28
540.34613,28
541.219752,28
542.092459,28
542.964249,27
543.835124,27
544.705082,27
545.574125,27
546.442251,27
547.309461,27
548.175756,26
549.041134,26
549.905597,26
550.769143,26
551.631774,26
552.493488,26
553.354287,26
554.21417,26
555.073136,26
555.931187,26
556.788321,26
557.64454,26
558.499842,26
559.354229,26
560.207699,26
561.060254,27
561.911893,27
562.762615,27
563.612422,27
564.461312,27
565.309287,26
566.156346,26
567.002488,26
567.847715,27
568.692026,26
569.53542,26
570.377899,27
571.219462,27
572.060108,28
572.899839,28
573.738654,28
574.576552,28
575.413535,28
576.249602,29
577.084752,29
577.918987,30
578.752306,31
579.584709,31
580.416195,32
581.246766,34
582.076421,35
582.90516,36
583.732982,37
584.559889,38
585.38588,39
586.210955,41
587.035114,43
587.858356,45
588.680683,47
589.502094,48
590.322589,49
591.142168,50
591.960831,51
592.778577,51
593.595408,50
594.411323,50
595.226322,49
596.040405,49
596.853572,49
597.665823,48
598.477158,48
599.287576,47
600.097079,46
600.905666,45
601.713337,44
602.520092,43
603.325931,42
604.130854,41
604.934861,40
605.737952,39
606.540127,39
607.341386,39
608.141729,39
608.941156,38
609.739667,37
610.537262,36
611.333941,35
612.129704,35
612.924551,34
613.718482,34
614.511497,34
615.303596,33
616.094779,33
616.885046,32
617.674397,32
618.462832,32
619.250351,33
620.036954,33
620.822641,32
621.607413,31
622.391268,29
623.174207,29
623.95623,29
624.737337,29
625.517528,30
626.296803,30
627.075162,30
627.852606,30
628.629133,29
629.404744,30
630.179439,30
630.953218,30
631.726081,30
632.498029,29
633.26906,28
634.039175,28
634.808374,27
635.576657,28
636.344025,28
637.110476,29
637.876011,29
638.64063,29
639.404334,28
640.167121,28
640.928992,27
641.689947,27
642.449987,27
643.20911,28
643.967317,28
644.724609,28
645.480984,27
646.236443,27
646.990987,27
647.744614,27
648.497325,27
649.249121,27
650.0,26
650.749963,26
651.499011,25
652.247142,25
652.994357,25
653.740657,25
654.48604,25
655.230508,24
655.974059,24
656.716694,24
657.458414,24
658.199217,25
658.939105,25
659.678076,26
660.416132,26
661.153271,26
661.889495,26
662.624802,25
663.359194,24
664.092669,23
664.825229,23
665.556872,24
666.2876,25
667.017411,26
667.746307,26
668.474286,26
669.20135,26
669.927497,26
670.652729,25
671.377044,25
672.100444,25
672.822927,26
673.544495,26
674.265147,26
674.984882,26
675.703702,26
676.421605,26
677.138593,27
677.854665,27
678.56982,27
679.28406,26
679.997383,26
680.709791,26
681.421283,26
682.131858,26
682.841518,26
683.550262,26
684.258089,26
684.965001,26
685.670997,26
686.376076,26
687.08024,26
687.783488,26
688.48582,26
689.187235,26
689.887735,27
690.587319,27
691.285987,27
691.983738,27
692.680574,27
693.376494,27
694.071498,27
694.765585,27
695.458757,27
696.151013,26
696.842353,25
697.532777,25
698.222284,25
698.910876,25
699.598552,25
700.285312,25
700.971156,25
701.656084,24
702.340095,25
703.023191,25
703.705371,25
704.386635,25
705.066983,26
705.746415,26
706.424931,26
707.102531,26
707.779215,25
708.454983,25
709.129834,26
709.80377,26
710.47679,26
711.148894,27
711.820082,27
712.490354,27
713.15971,27
713.82815,26
714.495674,26
715.162282,26
715.827974,26
716.49275,27
717.15661,27
717.819554,28
718.481582,29
719.142694,29
719.80289,28
720.46217,28
721.120534,27
721.777982,26
722.434514,26
723.090131,26
723.744831,27
724.398615,28
725.051483,28
725.703435,28
726.354471,29
727.004591,29
727.653795,29
728.302083,28
728.949456,28
729.595912,27
730.241452,27
730.886076,27
731.529784,27
732.172576,27
732.814452,27
733.455413,28
734.095457,28
734.734585,29
735.372797,30
736.010093,30
736.646474,29
737.281938,28
737.916486,28
738.550118,28
739.182835,28
739.814635,29
740.445519,30
741.075487,30
741.70454,30
742.332676,30
742.959896,29
743.586201,30
744.211589,30
744.836061,30
745.459617,30
746.082258,30
746.703982,30
747.32479,30
747.944683,29
748.563659,29
749.181719,29
749.798864,30
750.415092,30
751.030405,30
751.644801,30
752.258281,30
752.870846,30
753.482494,30
754.093227,30
754.703043,30
755.311943,30
755.919928,30
756.526996,29
757.133149,29
757.738385,29
758.342706,29
758.94611,29
759.548599,29
760.150171,29
760.750828,28
761.350568,28
761.949393,27
762.547301,27
763.144294,27
763.74037,28
764.335531,29
764.929775,29
765.523104,28
766.115516,27
766.707013,27
767.297593,27
767.887258,27
768.476007,27
769.063839,27
769.650756,27
770.236756,26
770.821841,26
771.40601,26
771.989262,27
772.571599,27
773.153019,28
773.733524,28
774.313113,28
774.891785,27
775.469542,26
776.046383,25
776.622307,25
777.197316,25
777.771409,26
778.344585,27
778.916846,27
779.488191,28
780.05862,28
780.628132,28
781.196729,28
781.76441,28
782.331175,29
782.897023,29
783.461956,29
784.025973,28
784.589074,28
785.151258,28
785.712527,27
786.27288,26
786.832317,26
787.390838,25
787.948442,26
788.505131,27
789.060904,28
789.615761,28
790.169702,27
790.722727,26
791.274835,26
791.826028,26
792.376305,27
792.925666,27
793.474111,27
794.02164,27
794.568253,27
795.11395,27
795.65873,26
796.202595,26
796.745544,25
797.287577,25
797.828694,26
798.368895,26
798.90818,26
799.446549,27
799.984002,26
800.520539,25
801.05616,25
801.590865,25
802.124654,25
802.657527,25
803.189484,25
803.720525,25
804.25065,25
804.779859,25
805.308152,26
805.835529,26
806.36199,26
806.887535,27
807.412164,27
807.935877,27
808.458674,26
808.980555,26
809.501521,26
810.02157,26
810.540703,26
811.05892,26
811.576221,25
812.092606,26
812.608075,26
813.122628,26
813.636266,27
814.148987,26
814.660792,26
815.171681,26
815.681654,25
816.190711,25
816.698853,24
817.206078,23
817.712387,22
818.21778,22
818.722257,22
819.225819,21
819.728464,20
820.230193,19
820.731006,19
821.230904,18
821.729885,17
822.22795,17
822.725099,17
823.221333,17
